accuracy,loss,acc_convergence,loss_convergence,acc_valid,loss_valid,parameters,hidden_nodes,filters,filter_size,pooling_size,pooling_type,dropout
0.881,0.4384,0,1,True,True,172229,49,70,"(3, 3)","(4, 4)",average,24
0.9112,0.3626,0,1,True,True,92459,95,36,"(5, 5)","(5, 5)",max,65
0.9709,0.1298,5,1,False,True,1738679,128,69,"(3, 3)","(2, 2)",average,5
0.5578,1.3839,0,1,True,False,683495,35,99,"(3, 3)","(2, 2)",max,64
0.9671,0.1617,0,1,True,True,1901540,104,93,"(2, 2)","(2, 2)",average,22
0.9674,0.1513,0,1,True,True,134129,109,7,"(4, 4)","(2, 2)",average,45
0.958,0.1719,0,1,True,True,662526,89,91,"(3, 3)","(3, 3)",average,41
0.7239,0.9767,0,1,True,False,81362,63,49,"(3, 3)","(5, 5)",max,68
0.655,1.1394,0,1,True,False,43779,16,66,"(5, 5)","(4, 4)",average,29
0.9565,0.1845,0,1,True,True,33538,112,7,"(4, 4)","(4, 4)",max,20
0.9461,0.2234,0,1,True,True,732944,51,73,"(2, 2)","(2, 2)",average,15
0.6982,1.0329,0,1,True,False,11997,16,18,"(4, 4)","(4, 4)",average,15
0.9411,0.2301,0,1,True,True,461135,127,98,"(5, 5)","(4, 4)",average,51
0.9672,0.1452,0,1,True,True,296363,100,80,"(4, 4)","(4, 4)",max,33
0.9279,0.2763,0,1,True,True,490799,99,100,"(2, 2)","(4, 4)",max,32
0.536,1.6056,0,1,True,False,136671,46,36,"(2, 2)","(3, 3)",max,51
0.5831,1.5385,0,1,True,False,289997,21,70,"(2, 2)","(2, 2)",average,53
0.9085,0.3518,0,1,True,True,29831,79,13,"(4, 4)","(5, 5)",max,43
0.9148,0.3176,9,1,False,True,154945,93,33,"(2, 2)","(4, 4)",max,1
0.8643,0.5787,0,1,True,False,184105,85,58,"(4, 4)","(4, 4)",average,60
0.9291,0.2595,0,1,True,True,115107,60,23,"(3, 3)","(3, 3)",max,23
0.9113,0.3485,0,1,True,True,120247,91,50,"(4, 4)","(5, 5)",average,2
0.9572,0.1802,0,1,True,True,77247,81,14,"(5, 5)","(3, 3)",average,26
0.949,0.2192,0,1,True,True,127554,49,15,"(5, 5)","(2, 2)",average,50
0.9159,0.3168,0,1,True,True,63575,70,34,"(3, 3)","(5, 5)",max,24
0.3644,2.1173,0,1,True,False,119599,23,62,"(4, 4)","(3, 3)",average,68
0.9595,0.172,0,1,True,True,1004955,82,72,"(4, 4)","(2, 2)",max,52
0.8159,0.6817,0,1,True,False,32375,25,32,"(5, 5)","(4, 4)",average,15
0.9324,0.2914,0,1,True,True,83047,34,14,"(5, 5)","(2, 2)",max,38
0.5073,1.5209,0,1,True,False,40475,32,48,"(2, 2)","(5, 5)",average,34
0.7034,1.0094,0,1,True,False,5580,19,3,"(3, 3)","(3, 3)",average,19
0.9351,0.3049,0,1,True,True,166704,61,33,"(3, 3)","(3, 3)",average,24
0.8422,0.6213,0,1,True,False,503439,34,75,"(3, 3)","(2, 2)",max,35
0.9295,0.3541,0,1,True,True,57879,36,41,"(5, 5)","(4, 4)",max,36
0.8987,0.3861,0,1,True,True,30639,83,4,"(2, 2)","(3, 3)",average,8
0.8883,0.4273,0,1,True,True,544425,90,74,"(2, 2)","(3, 3)",average,35
0.6014,1.2751,0,1,True,False,68507,30,88,"(2, 2)","(5, 5)",max,51
0.9552,0.184,0,1,True,True,361775,98,74,"(3, 3)","(4, 4)",max,42
0.9444,0.2404,0,1,True,True,31847,105,4,"(5, 5)","(3, 3)",max,31
0.7459,0.8812,0,1,True,False,49046,28,67,"(2, 2)","(5, 5)",average,9
0.9458,0.2617,0,1,True,True,361651,64,86,"(5, 5)","(3, 3)",max,53
0.4062,2.0675,0,1,True,False,71955,18,20,"(3, 3)","(2, 2)",average,35
0.7387,0.9065,0,1,True,False,30557,57,19,"(4, 4)","(5, 5)",average,57
0.8218,0.7208,0,1,True,False,42607,31,20,"(5, 5)","(3, 3)",max,38
0.5216,1.5055,0,1,True,False,211127,28,92,"(2, 2)","(3, 3)",average,63
0.94,0.2465,0,1,True,True,663875,104,78,"(3, 3)","(3, 3)",average,44
0.9483,0.2067,0,1,True,True,92685,73,15,"(4, 4)","(3, 3)",average,37
0.4378,1.8073,0,1,True,False,36860,23,55,"(5, 5)","(5, 5)",max,61
0.9528,0.1806,0,1,True,True,131031,79,63,"(4, 4)","(5, 5)",max,21
0.4093,2.3624,0,1,True,False,91583,17,78,"(5, 5)","(3, 3)",max,63
0.9649,0.1514,5,1,False,True,1974874,121,83,"(2, 2)","(2, 2)",max,3
0.9632,0.165,0,1,True,True,450647,91,25,"(3, 3)","(2, 2)",average,33
0.9362,0.2712,0,1,True,True,632621,109,71,"(2, 2)","(3, 3)",average,39
0.9229,0.3453,0,1,True,True,1021367,61,85,"(3, 3)","(2, 2)",max,44
0.9678,0.1469,0,1,True,True,47135,52,23,"(5, 5)","(4, 4)",max,18
